,tissue,accuracy
0,Adipose Tissue,0.35
1,Blood,0.2314814814814815
2,Blood Vessel,0.4347826086956522
3,Brain,0.4029850746268657
4,Breast,0.22033898305084743
5,Colon,0.38235294117647056
6,Esophagus,0.4341463414634147
7,Heart,0.4132231404958677
8,Lung,0.2093023255813954
9,Muscle,0.3157894736842105
10,Nerve,0.30952380952380953
11,Pancreas,0.27450980392156865
12,Skin,0.3526970954356846
13,Stomach,0.1923076923076923
14,Testis,0.3207547169811321
15,Thyroid,0.3222222222222222
