""	logFC	AveExpr	t	P.Value	adj.P.Val
ENSG00000244694	-1.39594105709965	0.415255067677382	-2.83883840424514	0.00236760096351167	1
ENSG00000188536	-1.81731148126313	4.1628809239101	-2.36221655913861	0.00929793651072776	1
ENSG00000269376	-1.54286976080617	-3.8057679411955	-2.35269012888328	0.00953648160332258	1
ENSG00000206172	-1.86026082517438	0.377106994427807	-2.33497432570363	0.00999439623114995	1
ENSG00000197846	-1.76191349783564	-3.17322916898166	-2.22952071304772	0.0131389524854235	1
ENSG00000223609	-2.37409555513304	-0.467451518815933	-2.12136784057617	0.0172218394201748	1
ENSG00000241635	1.66842986744217	-4.78357150854569	2.088845131759	0.0186448253545329	1
ENSG00000244734	-1.64626747773879	6.18416086563509	-2.02650556113545	0.0216546323151132	1
ENSG00000203814	-1.53119066893572	-1.01215556542354	-2.01455370573668	0.0222764411220382	1
ENSG00000270640	-1.49248850606814	-1.54805186620595	-1.94846222597425	0.0259941229134848	1
ENSG00000210194	1.5574813515337	-2.73723214227077	1.88897810459995	0.0297725672163214	1
ENSG00000210144	1.60473345687978	-4.24658049171634	1.88464838829064	0.030064588515338	1
ENSG00000130513	-1.38796932343238	1.97191165304427	-1.88197990660966	0.0302457505026825	1
ENSG00000200879	-1.56333527455918	-4.84094126967365	-1.76807342425214	0.038867097606383	1
ENSG00000263503	-1.69335730348353	-3.9062872516583	-1.6944381517012	0.0454410694065407	1
ENSG00000206177	-1.52033449701237	-4.50771588495318	-1.66712816368691	0.0480964650106975	1
ENSG00000269356	-1.37737148614082	-3.70407218718271	-1.65956290309554	0.0488536826829432	1
ENSG00000180777	-1.43116472792653	-3.57471196064908	-1.56486337290379	0.0591631021199481	1
ENSG00000198804	1.32535051971732	12.7026610511357	1.46545252907718	0.0717520573388301	1
ENSG00000210151	1.36787689000192	0.291157186914442	1.42465635411539	0.0774789518010136	1
ENSG00000254632	1.36138883276761	-3.25929974637116	1.30727897271773	0.0958967259201807	1
ENSG00000159167	-1.28249480971021	6.22062366208434	-1.28997739002325	0.0988644359745879	1
ENSG00000149968	1.55321862448564	-2.66473553215514	1.23835845243218	0.108118236760556	1
ENSG00000181092	1.52365385367633	-0.326561430795663	1.18665271269402	0.11799908388562	1
ENSG00000259663	-1.33549490009031	-2.0844885151626	-1.12431800714229	0.13074231106358	1
ENSG00000196890	-1.34421012280961	-4.54273010553757	-1.08658134030425	0.138905226740829	1
ENSG00000262870	-1.23936971825148	-3.79572182382478	-1.07048036472821	0.142491881049466	1
ENSG00000158578	-1.35738871317661	-1.45810126163888	-1.06472987033418	0.143787960951908	1
ENSG00000147697	1.24827159992258	-2.20982078266414	0.887306845904256	0.187696658277239	1
ENSG00000169877	-1.26510823287529	-4.54546048796442	-0.861083214722848	0.194828108607061	1
ENSG00000197921	-1.22911434741633	-2.53111653096965	-0.855789995052167	0.196287392930629	1
ENSG00000262539	-1.32028968363732	-3.22308226865479	-0.835764932844305	0.201867977209377	1
ENSG00000198518	-1.20276982081336	-0.897161996381435	-0.801579655735912	0.211612111277221	1
ENSG00000197697	-1.20871163229837	-3.80585485882591	-0.793163837275593	0.214052660744752	1
ENSG00000187288	1.31007887328867	-1.02065383029458	0.788929692075231	0.215286737609749	1
ENSG00000119913	1.22543257922206	-2.23216585690321	0.777475482876942	0.218645834962513	1
ENSG00000059804	-1.13612217217033	6.14011694023843	-0.775011797193655	0.219372279989091	1
ENSG00000224570	-1.19349144538607	-5.50289091011669	-0.764331650043302	0.222537486338986	1
ENSG00000258670	1.15726407263996	-4.05363231673497	0.665248649380058	0.253118157479871	1
ENSG00000237973	1.19632752759118	4.39414139491131	0.661702420512308	0.254252324046786	1
ENSG00000254982	-1.14469654692965	-4.3470933706499	-0.650947509115653	0.257708276382376	1
