""	logFC	AveExpr	t	P.Value	adj.P.Val
ENSG00000255442	-1.84751770586691	-4.26811941420193	-4.48112794979975	4.06746283005677e-06	0.108271793073281
ENSG00000259882	-1.5042114458192	-4.69764919526672	-2.87870501865145	0.00203200688343538	1
ENSG00000260047	-1.36565396441718	-4.32140744680912	-2.32280149723675	0.010178266439763	1
ENSG00000261217	-1.29400235025661	-3.90456270027397	-1.62789895729933	0.0519045384181246	1
ENSG00000205502	-1.30569997967277	-0.739568921870756	-1.14710026974966	0.125784532655869	1
ENSG00000169245	-1.24638099364358	-3.22281707139409	-1.13724199335991	0.127832195168867	1
ENSG00000110484	-1.43641741005548	2.86524195845106	-1.12144489618661	0.131161558520199	1
ENSG00000134765	-1.48397126358809	4.56421578160175	-1.07823639912156	0.140572608190073	1
ENSG00000235725	-1.21365251998376	-3.33053189056781	-1.07179000407644	0.142015040545907	1
ENSG00000189182	-1.46423652505965	4.79482963958639	-1.03511420663257	0.150412191236668	1
ENSG00000138755	-1.19523704413418	-2.08964185789068	-0.871874150825626	0.191725807294654	1
ENSG00000167768	-1.38572510331554	9.83663055168113	-0.809850890067878	0.209093613695473	1
ENSG00000164434	-1.24615073036181	1.20688255349518	-0.791213515622156	0.214487956940919	1
ENSG00000149043	-1.26308811987137	3.44787736301363	-0.725378714749604	0.234180649255127	1
ENSG00000134760	-1.32208142613493	5.90527411707946	-0.705342285930172	0.240367350762703	1
ENSG00000161634	-1.31414920612184	4.53557036861458	-0.692064903081894	0.244515493507428	1
ENSG00000140287	-1.20152635056894	0.416373617604612	-0.688029034032689	0.245783801130831	1
ENSG00000148600	-1.28064421364385	5.7985402665031	-0.683949417144118	0.247069661486158	1
ENSG00000165953	-1.29887316080889	4.48288893479761	-0.672940662781679	0.250557501511996	1
ENSG00000183036	-1.15025702787972	-0.0855472625111494	-0.652227166283437	0.257189835532022	1
ENSG00000105141	-1.29720974135344	5.7318737576058	-0.65006566339788	0.257887468695988	1
ENSG00000132517	-1.12796580997736	1.45122043638873	-0.64634897806996	0.259088545013598	1
ENSG00000269975	-1.08560075287279	-3.57641955696491	-0.643942344841765	0.25986799842941	1
ENSG00000178934	-1.26795346429291	5.02135221304155	-0.641910235327392	0.260527127590234	1
ENSG00000214128	-1.21358825926643	-0.0604855175360428	-0.633470507853472	0.263273633137288	1
ENSG00000145824	-1.23115867516515	6.53388470528009	-0.633329056780264	0.263319791995966	1
ENSG00000172724	-1.18156825534192	0.0390453534809903	-0.630467021050423	0.26425461725558	1
ENSG00000090104	-1.15852316485682	1.60802070951794	-0.623833698840252	0.266427744005625	1
ENSG00000137077	-1.16980551684093	1.72204511299923	-0.611692229638704	0.270428693116151	1
ENSG00000149403	-1.10663196728695	-2.45637937100318	-0.572454362804808	0.283560766698253	1
ENSG00000232629	-1.19968958217611	1.82877913083234	-0.569230797128038	0.28465307873658	1
ENSG00000238243	-1.09957765245631	-3.39289824931391	-0.568690876215149	0.284836228253941	1
ENSG00000172551	-1.21432666226642	3.18072366622811	-0.567945669792993	0.285089109421126	1
