""	logFC	AveExpr	t	P.Value	adj.P.Val
ENSG00000213578	-3.18248504805063	0.259320328995375	-2.60906273458799	0.00480534150080383	1
ENSG00000140506	-3.03764727978388	-1.16982320126015	-2.60371765327385	0.0048786391494123	1
ENSG00000134443	-2.74004346948542	-1.28286423993828	-2.60341042872391	0.00488267948211356	1
ENSG00000253864	-2.27869317514626	0.941155797020819	-2.60154107517305	0.00490864285914698	1
ENSG00000272349	-1.98702732992357	-3.7949814905193	-2.60121083251287	0.00491324731480567	1
ENSG00000228446	-1.89247575999637	-3.10995222165583	-2.55900525203264	0.00553456020590414	1
ENSG00000196890	-2.05779569821359	-4.65907205396322	-2.51662949264499	0.00622809068407709	1
ENSG00000186340	-2.08493442515895	3.48293887640526	-2.48559544757038	0.00678406303048299	1
ENSG00000105825	-1.99557261234853	0.590006079358103	-2.48284839751395	0.00683533939934819	1
ENSG00000164694	-1.93814657349418	-0.380547659037011	-2.46840030854548	0.00711073576283475	1
ENSG00000256790	-2.24829959352859	-4.08841503302809	-2.39588151191945	0.00864708829917664	1
ENSG00000241449	-1.88703179850699	-4.49192360229924	-2.39417074923175	0.00868662120971559	1
ENSG00000251405	-1.92814796149093	-1.76766011491406	-2.39404536942069	0.00868952485888098	1
ENSG00000184937	-2.11244406551666	-3.46431221823877	-2.38894709547239	0.00880832242477516	1
ENSG00000132692	-2.13427581952372	-0.689238725377776	-2.37352326342758	0.00917648421713878	1
ENSG00000181195	-2.58952964522782	-1.00390072964945	-2.36021711138335	0.00950502207058481	1
ENSG00000080224	-2.37637791679235	-2.46514110832217	-2.3288037406496	0.0103216057977481	1
ENSG00000197846	-2.21711927216713	-3.0865721820116	-2.31668079366513	0.0106528495999092	1
ENSG00000225527	-1.64807737859438	-2.89557215420727	-2.30683799653037	0.0109286142090144	1
ENSG00000244694	-1.80836214131514	-2.68738589056711	-2.29148893205517	0.0113711207776193	1
ENSG00000189108	-1.92695107750766	-4.756960273642	-2.28060582583397	0.0116942897109247	1
ENSG00000271862	2.3693214653433	-0.570560995294025	2.25901878620631	0.0123591380678552	1
ENSG00000258967	-1.78108765053268	-0.77805712069004	-2.2444792998379	0.012825221605512	1
ENSG00000214654	2.23339359401002	-0.266302207889386	2.23977544398952	0.012979267404085	1
ENSG00000145526	-2.05313062525004	-4.39568772457445	-2.20954295038962	0.0140082232027402	1
ENSG00000232013	-1.77223685738527	-3.23041685321471	-2.20906161584923	0.0140251613235119	1
ENSG00000113296	-2.30668449004689	2.42644048875109	-2.15416846555109	0.0160771408842957	1
ENSG00000183230	-2.40071488544025	-0.326743444430285	-2.15255867596869	0.0161411509754514	1
ENSG00000237515	-1.82661469487154	-0.257015683366869	-2.14670239749017	0.0163752466201926	1
ENSG00000238133	-1.87273357241675	-2.39863207821442	-2.13506203449207	0.016849614161943	1
ENSG00000182667	-1.64409595713748	0.944570667594822	-2.12255843538491	0.0173722815379367	1
ENSG00000082293	-2.19641562684788	-0.32875342086881	-2.11980494389781	0.0174892540999427	1
ENSG00000256654	-2.23513314616335	-3.57417320124635	-2.11472887281441	0.0177066473793385	1
ENSG00000259716	-2.01692645746166	-0.902330549170008	-2.10966349037992	0.0179258359791026	1
ENSG00000241472	-1.65454961893889	-2.40365873812262	-2.10678393490004	0.0180514946950336	1
ENSG00000261051	-1.54352595437039	-0.303105542577421	-2.09796041150751	0.0184412538575214	1
ENSG00000184408	-1.81960424208607	-2.22568486697162	-2.08176345215889	0.0191754967634271	1
ENSG00000248544	-1.58855751439692	-1.70631616397054	-2.07449646547756	0.0195129633967103	1
ENSG00000125851	-1.68199906904739	1.27383424449218	-2.07422814816271	0.0195255201235817	1
ENSG00000091482	-2.5382627547358	-1.68965955995605	-2.06313603661512	0.0200524092063763	1
ENSG00000236714	-1.99500525197409	-3.07820349888364	-2.06123615259555	0.0201418351887297	1
ENSG00000249899	-1.74680520441563	-3.81735450885899	-2.05930887313187	0.0202346590539965	1
ENSG00000131080	-1.53786654465555	0.668806010100159	-2.05333708899123	0.0205246022168018	1
ENSG00000164326	-2.33303826295583	-0.408674127588278	-2.04200686947147	0.0210847671661314	1
ENSG00000006128	-2.08167161115819	-1.19230788362582	-2.03356439101111	0.021510015945174	1
ENSG00000261239	-1.82935886503829	-4.35285223887671	-2.01628648541747	0.0224037302500731	1
ENSG00000009694	-1.63842997611766	2.0901693240627	-1.98872087826984	0.0238947529246716	1
ENSG00000120251	-1.64626757179864	0.840372620746354	-1.96363178765427	0.0253239172197727	1
ENSG00000261757	-1.84203414452555	-4.69599933711821	-1.95385007791953	0.0259003101582807	1
ENSG00000227560	-2.05553286385247	-3.65475988428142	-1.95241301235561	0.0259859340501047	1
ENSG00000106483	-1.78731168071658	0.958401037956949	-1.94240032892779	0.0265889790078915	1
ENSG00000146469	-2.163230653742	2.1145306406088	-1.93936884483269	0.0267740105048375	1
ENSG00000267199	-1.54766262574309	-0.102094416358135	-1.93496699909437	0.0270442586519979	1
ENSG00000259921	-1.60718271955267	-1.51715342060716	-1.93333680308707	0.0271449757284684	1
ENSG00000180178	-1.68858772894609	-4.46491548467486	-1.93313551292468	0.0271574336817772	1
ENSG00000213706	-1.71228609687668	-4.18042475942399	-1.91561084510277	0.0282605866454135	1
ENSG00000203737	-1.92968889454227	-3.6905783184397	-1.89889795942414	0.0293473499146438	1
ENSG00000147255	-1.5990063055321	0.547664941624715	-1.8677207947314	0.0314679701004276	1
ENSG00000272037	-1.41832943060102	-0.113175304490864	-1.85787964039941	0.0321632444939233	1
ENSG00000111262	-2.32141940202126	-1.69272614198584	-1.84809441280321	0.0328698773527383	1
ENSG00000155511	-1.83845216871206	-0.262230133883875	-1.8357458389344	0.0337736728806978	1
ENSG00000206579	-1.69872208130482	0.858063254746367	-1.81879849160646	0.0350513626680758	1
ENSG00000165462	-2.14428825332559	-2.93915731540286	-1.81320044237971	0.0354826530917325	1
ENSG00000130822	-2.22730941893603	1.56076123650619	-1.80249682118022	0.0363195350851683	1
ENSG00000265489	-1.67854000247176	-2.12671080762976	-1.80031407531675	0.0364901571106157	1
ENSG00000167281	-1.91300239999026	0.301783645715909	-1.78800504059987	0.037474986320866	1
ENSG00000174403	-1.8427507033137	2.02468553068088	-1.78493805060227	0.0377237236924164	1
ENSG00000171872	-1.76754409456622	-3.18667422760658	-1.78357970265235	0.0378343231161201	1
ENSG00000235910	-1.47617031061454	-3.16575147310474	-1.76961967496061	0.0389864995453747	1
ENSG00000271020	1.93159541463204	-1.20981390698791	1.76901902639026	0.0390367438202381	1
ENSG00000259712	-1.58582928135387	-2.31256564338991	-1.76276055205323	0.039563051155378	1
ENSG00000166104	-1.84967822642975	-3.4363975949955	-1.7622274158805	0.0396081605580169	1
ENSG00000229657	-1.69271563263864	-3.72047218146141	-1.76045588033314	0.0397583315793328	1
ENSG00000235370	-1.54855464826197	-1.49809588359452	-1.75215298416558	0.0404684006583785	1
ENSG00000171819	-2.11385214736911	-0.663200695101924	-1.74953710719315	0.0406951299524085	1
ENSG00000144893	-1.43069475939114	-1.56833987171092	-1.74925650493111	0.0407185328618126	1
ENSG00000198796	-1.91423176663161	0.613487947047514	-1.74762764308193	0.0408597823452788	1
ENSG00000171246	-2.0285355089261	1.23814985416186	-1.73951036966448	0.0415697606262132	1
ENSG00000115593	-2.4599690062438	0.0734770713938323	-1.73864676272053	0.0416710638960298	1
ENSG00000179915	-1.67517450035136	1.75057168308522	-1.73484316678859	0.041982057446355	1
ENSG00000204518	-1.87099185666889	-4.32261105896953	-1.73448211139231	0.0420141290883614	1
ENSG00000207733	-1.46218569811438	-2.94688225710161	-1.7284094354423	0.0425562764584017	1
ENSG00000223573	-1.39215029232117	-0.675021843911955	-1.72021682312028	0.043296706973422	1
ENSG00000196666	-1.85791847184509	-2.38272359204234	-1.71726365048434	0.0435661751705654	1
ENSG00000164418	-1.61123327039522	-0.095950180146714	-1.70873530586585	0.0443519532868059	1
ENSG00000109705	-2.21726716297751	-1.05455938454122	-1.70773234312532	0.0444499658092496	1
ENSG00000251003	-1.66421601428422	-3.2533413553242	-1.70223611205047	0.0449584636054162	1
ENSG00000246375	-1.6792367155653	-3.68723452196784	-1.68544246286231	0.046556793229567	1
ENSG00000146166	-1.74090048633816	-1.95628823953869	-1.67512115739305	0.0475616711006471	1
ENSG00000187714	-2.08450864971211	-2.62136709899506	-1.67284126717521	0.0477876099558133	1
ENSG00000104725	-2.02275742039741	-1.3778402018191	-1.67069465266177	0.0479986636850243	1
ENSG00000166349	2.17446431569968	0.0448667149952527	1.65823445667229	0.0492489306933685	1
ENSG00000152208	-1.84177415069477	-3.18796784671086	-1.64680785335244	0.0504081946134166	1
ENSG00000260977	-1.42969796511203	-1.11996590734435	-1.64412420924776	0.0506849012742864	1
ENSG00000231764	-1.78044077751803	-3.66423850800899	-1.64409406956734	0.0506880233547862	1
ENSG00000104213	-1.78474780694023	1.33273450897095	-1.63761627275253	0.0513610716504574	1
ENSG00000270640	-1.79263282058255	-1.37246094949143	-1.63745016830296	0.051378425820898	1
