,tissue,accuracy
0,Adipose Tissue,0.8536585365853658
1,Blood,0.8248175182481752
2,Blood Vessel,0.810126582278481
3,Brain,0.971830985915493
4,Breast,0.8
5,Colon,0.9051094890510949
6,Esophagus,0.8884892086330936
7,Heart,0.8051948051948052
8,Lung,0.8909090909090909
9,Muscle,0.8071428571428572
10,Nerve,0.7692307692307692
11,Pancreas,0.8591549295774648
12,Skin,0.6835016835016835
13,Stomach,0.8266666666666667
14,Testis,0.6666666666666667
15,Thyroid,0.829059829059829
