,tissue,accuracy
0,Adipose Tissue,0.30625
1,Blood,0.25
2,Blood Vessel,0.34239130434782605
3,Brain,0.43939393939393945
4,Breast,0.18644067796610164
5,Colon,0.33333333333333337
6,Esophagus,0.30731707317073176
7,Heart,0.31404958677685946
8,Lung,0.36046511627906974
9,Muscle,0.3070175438596491
10,Nerve,0.22619047619047616
11,Pancreas,0.4117647058823529
12,Skin,0.2655601659751037
13,Stomach,0.3584905660377359
14,Testis,0.2264150943396226
15,Thyroid,0.3111111111111111
