,tissue,accuracy
0,Adipose Tissue,0.8975609756097561
1,Blood,0.927007299270073
2,Blood Vessel,0.9324894514767933
3,Brain,0.971830985915493
4,Breast,0.8266666666666667
5,Colon,0.927007299270073
6,Esophagus,0.9244604316546763
7,Heart,0.9155844155844156
8,Lung,0.9272727272727272
9,Muscle,0.8785714285714286
10,Nerve,0.8942307692307693
11,Pancreas,0.9436619718309859
12,Skin,0.7912457912457913
13,Stomach,0.92
14,Testis,0.7777777777777778
15,Thyroid,0.9230769230769231
